,date,winner,loser,result,draw,Match_rank,dyad
152,2015-05-13,raje,ring,3,TRUE,0,Am_Am
153,2015-05-14,coco,holl,1,FALSE,1,Af_Af
154,2015-05-14,coco,gizm,1,FALSE,1,Jf_Af
155,2015-05-14,flyn,ring,1,FALSE,0,Am_Am
156,2015-05-14,gizm,flo,1,FALSE,1,Af_Jf
157,2015-05-14,holl,hect,1,FALSE,1,Jm_Af
158,2015-05-14,mori,raje,1,FALSE,1,Am_Am
159,2015-05-14,mori,carm,1,FALSE,1,Af_Am
160,2015-05-14,mori,tyle,1,FALSE,0,Am_Am
161,2015-05-14,panc,ring,1,FALSE,1,Am_Am
162,2015-05-14,panc,flyn,1,FALSE,1,Am_Am
163,2015-05-14,panc,flyn,1,FALSE,1,Am_Am
164,2015-05-14,panc,flyn,1,FALSE,1,Am_Am
165,2015-05-14,raje,flyn,1,FALSE,0,Am_Am
166,2015-05-14,ring,coco,1,FALSE,1,Af_Am
167,2015-05-14,ring,hect,1,FALSE,1,Jm_Am
168,2015-05-14,sash,mori,1,FALSE,1,Am_Af
169,2015-05-14,sash,wokb,1,FALSE,1,Af_Af
170,2015-05-14,sash,flo,1,FALSE,1,Af_Af
171,2015-05-14,scar,lucy,1,FALSE,1,Af_Af
172,2015-05-14,scar,talu,1,FALSE,1,Jm_Af
173,2015-05-14,scar,flo,1,FALSE,1,Af_Af
174,2015-05-14,scar,fina,1,FALSE,1,Jf_Af
175,2015-05-14,talu,ocea,1,FALSE,1,Af_Jm
176,2015-05-14,flyn,raje,2,FALSE,1,Am_Am
177,2015-05-14,flyn,tyle,2,FALSE,0,Am_Am
178,2015-05-14,mori,raje,2,FALSE,1,Am_Am
179,2015-05-14,panc,raje,2,FALSE,1,Am_Am
180,2015-05-14,panc,tyle,2,FALSE,1,Am_Am
181,2015-05-14,ring,flyn,3,TRUE,0,Am_Am
182,2015-05-14,panc,raje,3,TRUE,0,Am_Am
183,2015-05-14,ring,panc,3,TRUE,0,Am_Am
184,2015-05-15,coco,carm,1,FALSE,1,Af_Af
185,2015-05-15,coco,phoe,1,FALSE,1,Af_Af
186,2015-05-15,coco,talu,1,FALSE,1,Jm_Af
187,2015-05-15,dori,cind,1,FALSE,1,Jf_Af
188,2015-05-15,flyn,ring,1,FALSE,0,Am_Am
189,2015-05-15,holl,ocea,1,FALSE,1,Af_Af
190,2015-05-15,lucy,puck,1,FALSE,1,Jm_Af
191,2015-05-15,lucy,ring,1,FALSE,0,Am_Af
192,2015-05-15,mori,raje,1,FALSE,1,Am_Am
193,2015-05-15,mori,tyle,1,FALSE,0,Am_Am
194,2015-05-15,mori,tyle,1,FALSE,0,Am_Am
195,2015-05-15,mori,talu,1,FALSE,1,Jm_Am
196,2015-05-15,mori,talu,1,FALSE,1,Jm_Am
197,2015-05-15,panc,ring,1,FALSE,1,Am_Am
198,2015-05-15,panc,tyle,1,FALSE,1,Am_Am
199,2015-05-15,raje,ring,1,FALSE,0,Am_Am
200,2015-05-15,ring,panc,1,FALSE,0,Am_Am
201,2015-05-15,ring,flyn,1,FALSE,1,Am_Am
202,2015-05-15,sash,lucy,1,FALSE,1,Af_Af
203,2015-05-15,sash,tyle,1,FALSE,0,Am_Af
204,2015-05-15,tyle,flyn,1,FALSE,1,Am_Am
205,2015-05-15,tyle,flyn,1,FALSE,1,Am_Am
206,2015-05-15,wokb,talu,1,FALSE,0,Jm_Af
207,2015-05-15,panc,ring,2,FALSE,1,Am_Am
208,2015-05-15,tyle,ring,2,FALSE,1,Am_Am
209,2015-05-15,ocea,saff,3,TRUE,0,Jf_Af
210,2015-05-15,flyn,carm,3,TRUE,0,Af_Am
211,2015-05-18,coco,lucy,1,FALSE,1,Af_Af
212,2015-05-18,dori,ging,1,FALSE,1,Af_Af
213,2015-05-18,flyn,tyle,1,FALSE,0,Am_Am
214,2015-05-18,flyn,carm,1,FALSE,1,Af_Am
215,2015-05-18,holl,flo,1,FALSE,1,Af_Af
216,2015-05-18,mori,flyn,1,FALSE,1,Am_Am
217,2015-05-18,mori,raje,1,FALSE,1,Am_Am
218,2015-05-18,mori,tyle,1,FALSE,0,Am_Am
219,2015-05-18,mori,raje,1,FALSE,1,Am_Am
220,2015-05-18,mori,raje,1,FALSE,1,Am_Am
221,2015-05-18,panc,flyn,1,FALSE,1,Am_Am
222,2015-05-18,panc,holl,1,FALSE,1,Af_Am
223,2015-05-18,panc,lucy,1,FALSE,1,Af_Am
224,2015-05-18,panc,ring,1,FALSE,1,Am_Am
225,2015-05-18,panc,ring,1,FALSE,1,Am_Am
226,2015-05-18,panc,ring,1,FALSE,1,Am_Am
227,2015-05-18,panc,ring,1,FALSE,1,Am_Am
228,2015-05-18,phoe,flo,1,FALSE,1,Af_Af
229,2015-05-18,ring,flyn,1,FALSE,1,Am_Am
230,2015-05-18,ring,sash,1,FALSE,0,Af_Am
231,2015-05-18,sash,ging,1,FALSE,1,Af_Af
232,2015-05-18,tyle,coco,1,FALSE,1,Af_Am
233,2015-05-18,tyle,raje,1,FALSE,1,Am_Am
234,2015-05-18,fay,puck,3,TRUE,0,Jm_Af
235,2015-05-18,raje,flyn,3,TRUE,0,Am_Am
236,2015-05-18,oreo,carm,3,TRUE,0,Af_Jf
237,2015-05-19,flo,dori,1,FALSE,1,Af_Af
238,2015-05-19,flyn,flo,1,FALSE,1,Af_Am
239,2015-05-19,holl,fina,1,FALSE,1,Jf_Af
240,2015-05-19,holl,flo,1,FALSE,1,Af_Af
241,2015-05-19,lucy,holl,1,FALSE,1,Af_Af
242,2015-05-19,lucy,fay,1,FALSE,1,Af_Af
243,2015-05-19,lucy,wokb,1,FALSE,1,Af_Af
244,2015-05-19,mori,flo,1,FALSE,1,Af_Am
245,2015-05-19,mori,tyle,1,FALSE,0,Am_Am
246,2015-05-19,panc,coco,1,FALSE,1,Af_Am
247,2015-05-19,panc,talu,1,FALSE,1,Jm_Am
248,2015-05-19,panc,ring,1,FALSE,1,Am_Am
249,2015-05-19,panc,holl,1,FALSE,1,Af_Am
250,2015-05-19,panc,mori,1,FALSE,1,Am_Am
251,2015-05-19,phoe,fina,1,FALSE,1,Jf_Af
252,2015-05-19,raje,flyn,1,FALSE,0,Am_Am
253,2015-05-19,ring,lucy,1,FALSE,1,Af_Am
254,2015-05-19,sash,fay,1,FALSE,1,Af_Af
255,2015-05-19,sash,holl,1,FALSE,1,Af_Af
256,2015-05-19,sash,tyle,1,FALSE,0,Am_Af
257,2015-05-19,tyle,coco,1,FALSE,1,Af_Am
258,2015-05-19,mori,tyle,2,FALSE,0,Am_Am
259,2015-05-19,mori,tyle,2,FALSE,0,Am_Am
260,2015-05-19,panc,mori,2,FALSE,1,Am_Am
261,2015-05-19,talu,flyn,3,TRUE,0,Am_Jm
262,2015-05-19,mori,tyle,3,TRUE,0,Am_Am
263,2015-05-20,carm,flo,1,FALSE,1,Af_Af
264,2015-05-20,gizm,lore,1,FALSE,NA,Jf_Jf
265,2015-05-20,mori,tyle,1,FALSE,0,Am_Am
266,2015-05-20,mori,dori,1,FALSE,1,Af_Am
267,2015-05-20,mori,tyle,1,FALSE,0,Am_Am
268,2015-05-20,mori,tyle,1,FALSE,0,Am_Am
269,2015-05-20,mori,talu,1,FALSE,1,Jm_Am
270,2015-05-20,panc,ring,1,FALSE,1,Am_Am
271,2015-05-20,panc,raje,1,FALSE,1,Am_Am
272,2015-05-20,panc,ring,1,FALSE,1,Am_Am
273,2015-05-20,phoe,carm,1,FALSE,1,Af_Af
274,2015-05-20,raje,ring,1,FALSE,0,Am_Am
275,2015-05-20,ring,phoe,1,FALSE,1,Af_Am
276,2015-05-20,sash,ocea,1,FALSE,1,Af_Af
277,2015-05-20,sash,phoe,1,FALSE,1,Af_Af
278,2015-05-20,sash,carm,1,FALSE,1,Af_Af
279,2015-05-20,sash,holl,1,FALSE,1,Af_Af
280,2015-05-20,sash,flyn,1,FALSE,1,Am_Af
281,2015-05-20,sash,coco,1,FALSE,1,Af_Af
282,2015-05-20,sash,carm,1,FALSE,1,Af_Af
283,2015-05-20,scar,flo,1,FALSE,1,Af_Af
284,2015-05-20,tyle,lucy,1,FALSE,1,Af_Am
285,2015-05-20,tyle,raje,1,FALSE,1,Am_Am
286,2015-05-20,wokb,flyn,2,FALSE,0,Am_Af
287,2015-05-20,mori,sash,3,TRUE,0,Af_Am
288,2015-05-20,mori,tyle,3,TRUE,0,Am_Am
289,2015-05-20,coco,ring,3,TRUE,0,Am_Af
290,2015-05-21,coco,gizm,1,FALSE,1,Jf_Af
291,2015-05-21,dori,ocea,1,FALSE,1,Af_Af
292,2015-05-21,flyn,gizm,1,FALSE,1,Jf_Am
293,2015-05-21,flyn,holl,1,FALSE,1,Af_Am
294,2015-05-21,gimp,gizm,1,FALSE,1,Jf_Jm
295,2015-05-21,gizm,oreo,1,FALSE,0,Jf_Jf
296,2015-05-21,gizm,oreo,1,FALSE,0,Jf_Jf
297,2015-05-21,hect,cact,1,FALSE,1,Jm_Jm
298,2015-05-21,lucy,carm,1,FALSE,1,Af_Af
299,2015-05-21,lucy,cind,1,FALSE,1,Jf_Af
300,2015-05-21,lucy,oreo,1,FALSE,1,Jf_Af
301,2015-05-21,lucy,holl,1,FALSE,1,Af_Af
302,2015-05-21,mori,ring,1,FALSE,1,Am_Am
303,2015-05-21,mori,holl,1,FALSE,1,Af_Am
304,2015-05-21,mori,tyle,1,FALSE,0,Am_Am
305,2015-05-21,panc,gizm,1,FALSE,1,Jf_Am
306,2015-05-21,panc,raje,1,FALSE,1,Am_Am
307,2015-05-21,panc,ring,1,FALSE,1,Am_Am
308,2015-05-21,ring,panc,1,FALSE,0,Am_Am
309,2015-05-21,sash,coco,1,FALSE,1,Af_Af
310,2015-05-21,sash,holl,1,FALSE,1,Af_Af
311,2015-05-21,sash,coco,1,FALSE,1,Af_Af
312,2015-05-21,sash,carm,1,FALSE,1,Af_Af
313,2015-05-21,sash,ocea,1,FALSE,1,Af_Af
314,2015-05-21,scar,saff,1,FALSE,0,Jf_Af
315,2015-05-21,scar,talu,1,FALSE,1,Jm_Af
316,2015-05-21,scar,coco,1,FALSE,1,Af_Af
317,2015-05-21,scar,coco,1,FALSE,1,Af_Af
318,2015-05-21,tyle,holl,1,FALSE,1,Af_Am
319,2015-05-21,tyle,flyn,1,FALSE,1,Am_Am
320,2015-05-21,tyle,raje,1,FALSE,1,Am_Am
321,2015-05-21,tyle,gimp,1,FALSE,1,Jm_Am
322,2015-05-21,raje,flyn,3,TRUE,0,Am_Am
323,2015-05-21,talu,mori,3,TRUE,0,Am_Jm
324,2015-05-22,carm,dori,1,FALSE,1,Af_Af
325,2015-05-22,carm,panc,1,FALSE,0,Am_Af
326,2015-05-22,coco,lucy,1,FALSE,1,Af_Af
327,2015-05-22,dori,ging,1,FALSE,1,Af_Af
328,2015-05-22,ging,carm,1,FALSE,0,Af_Af
329,2015-05-22,lucy,cind,1,FALSE,1,Jf_Af
330,2015-05-22,lucy,cind,1,FALSE,1,Jf_Af
331,2015-05-22,mori,wokb,1,FALSE,1,Af_Am
332,2015-05-22,mori,tyle,1,FALSE,0,Am_Am
333,2015-05-22,mori,raje,1,FALSE,1,Am_Am
334,2015-05-22,panc,ring,1,FALSE,1,Am_Am
335,2015-05-22,panc,raje,1,FALSE,1,Am_Am
336,2015-05-22,panc,ring,1,FALSE,1,Am_Am
337,2015-05-22,panc,flyn,1,FALSE,1,Am_Am
338,2015-05-22,panc,raje,1,FALSE,1,Am_Am
339,2015-05-22,panc,ring,1,FALSE,1,Am_Am
340,2015-05-22,ring,ging,1,FALSE,1,Af_Am
341,2015-05-22,sash,ging,1,FALSE,1,Af_Af
342,2015-05-22,sash,lucy,1,FALSE,1,Af_Af
343,2015-05-22,scar,sash,1,FALSE,0,Af_Af
344,2015-05-22,tyle,mori,1,FALSE,1,Am_Am
345,2015-05-22,flyn,panc,2,FALSE,0,Am_Am
346,2015-05-22,lucy,talu,2,FALSE,1,Jm_Af
347,2015-05-22,sash,panc,2,FALSE,0,Am_Af
348,2015-05-22,tyle,raje,3,TRUE,0,Am_Am
349,2015-05-22,sash,tyle,3,TRUE,0,Am_Af
350,2015-05-22,raje,sash,3,TRUE,0,Af_Am
351,2015-05-25,carm,fent,1,FALSE,1,Jm_Af
352,2015-05-25,coco,wokb,1,FALSE,1,Af_Af
353,2015-05-25,coco,hect,1,FALSE,1,Jm_Af
354,2015-05-25,coco,ocea,1,FALSE,1,Af_Af
355,2015-05-25,coco,cind,1,FALSE,1,Jf_Af
356,2015-05-25,dori,ocea,1,FALSE,1,Af_Af
357,2015-05-25,dori,ocea,1,FALSE,1,Af_Af
358,2015-05-25,flo,dori,1,FALSE,1,Af_Af
359,2015-05-25,flyn,holl,1,FALSE,1,Af_Am
360,2015-05-25,flyn,mori,1,FALSE,0,Am_Am
361,2015-05-25,flyn,mori,1,FALSE,0,Am_Am
362,2015-05-25,flyn,holl,1,FALSE,1,Af_Am
363,2015-05-25,ging,raje,1,FALSE,0,Am_Af
364,2015-05-25,lucy,cind,1,FALSE,1,Jf_Af
365,2015-05-25,lucy,flyn,1,FALSE,0,Am_Af
366,2015-05-25,mori,ring,1,FALSE,1,Am_Am
367,2015-05-25,mori,raje,1,FALSE,1,Am_Am
368,2015-05-25,panc,ring,1,FALSE,1,Am_Am
369,2015-05-25,panc,tyle,1,FALSE,1,Am_Am
370,2015-05-25,panc,tyle,1,FALSE,1,Am_Am
371,2015-05-25,panc,wokb,1,FALSE,1,Af_Am
372,2015-05-25,panc,flyn,1,FALSE,1,Am_Am
373,2015-05-25,panc,tyle,1,FALSE,1,Am_Am
374,2015-05-25,panc,flyn,1,FALSE,1,Am_Am
